Tname tGapStart tGapSize Qname qGapStart qGapSize Samples
OsjChr6_27965001_28023000 27965588 876 3663297 315 0 BORO_275;
OsjChr6_27965001_28023000 27965588 876 4026490 307 0 IRBB62;
OsjChr6_27965001_28023000 27965588 876 5279043 301 0 NCS271_A;
OsjChr6_27965001_28023000 27965588 876 5687385 299 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 27965588 876 6006764 295 0 NATEL_BORO;
OsjChr6_27965001_28023000 27967842 11 5687385 1677 2 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28016904 2 3452749 126 9 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28016904 2 3583565 125 9 AUS_242;
OsjChr6_27965001_28023000 28016904 2 3584536 133 9 AUS_308;
OsjChr6_27965001_28023000 28016904 2 3611710 138 9 BORO_275;
OsjChr6_27965001_28023000 28016904 2 4013075 124 9 IRBB62;
OsjChr6_27965001_28023000 28016904 2 4102675 113 9 ARC_11276;
OsjChr6_27965001_28023000 28016904 2 4157836 124 9 ARC_12920;
OsjChr6_27965001_28023000 28016904 2 4160600 130 9 DV86;
OsjChr6_27965001_28023000 28016904 2 4498563 114 9 AUS_295;
OsjChr6_27965001_28023000 28016904 2 4628474 119 9 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28016904 2 4903478 125 9 IRBB7;
OsjChr6_27965001_28023000 28016904 2 5230957 139 9 NCS271_A;
OsjChr6_27965001_28023000 28016904 2 5371725 113 9 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28016917 9 3452749 146 0 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28016917 9 3583565 145 0 AUS_242;
OsjChr6_27965001_28023000 28016917 9 3584536 153 0 AUS_308;
OsjChr6_27965001_28023000 28016917 9 3611710 158 0 BORO_275;
OsjChr6_27965001_28023000 28016917 9 4013075 144 0 IRBB62;
OsjChr6_27965001_28023000 28016917 9 4102675 133 0 ARC_11276;
OsjChr6_27965001_28023000 28016917 9 4157836 144 0 ARC_12920;
OsjChr6_27965001_28023000 28016917 9 4160600 150 0 DV86;
OsjChr6_27965001_28023000 28016917 9 4498563 134 0 AUS_295;
OsjChr6_27965001_28023000 28016917 9 4628474 139 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28016917 9 4903478 145 0 IRBB7;
OsjChr6_27965001_28023000 28016917 9 5230957 159 0 NCS271_A;
OsjChr6_27965001_28023000 28016917 9 5371725 133 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28016966 3 3452749 186 0 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28016966 3 3583565 185 0 AUS_242;
OsjChr6_27965001_28023000 28016966 3 3584536 193 0 AUS_308;
OsjChr6_27965001_28023000 28016966 3 3611710 198 0 BORO_275;
OsjChr6_27965001_28023000 28016966 3 4013075 184 0 IRBB62;
OsjChr6_27965001_28023000 28016966 3 4102675 173 0 ARC_11276;
OsjChr6_27965001_28023000 28016966 3 4157836 184 0 ARC_12920;
OsjChr6_27965001_28023000 28016966 3 4160600 190 0 DV86;
OsjChr6_27965001_28023000 28016966 3 4498563 174 0 AUS_295;
OsjChr6_27965001_28023000 28016966 3 4628474 179 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28016966 3 4903478 185 0 IRBB7;
OsjChr6_27965001_28023000 28016966 3 5230957 199 0 NCS271_A;
OsjChr6_27965001_28023000 28016966 3 5371725 173 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28017131 2 3452749 348 0 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28017131 2 3583565 347 0 AUS_242;
OsjChr6_27965001_28023000 28017131 2 3584536 355 0 AUS_308;
OsjChr6_27965001_28023000 28017131 2 3611710 360 0 BORO_275;
OsjChr6_27965001_28023000 28017131 2 4013075 346 0 IRBB62;
OsjChr6_27965001_28023000 28017131 2 4102675 335 0 ARC_11276;
OsjChr6_27965001_28023000 28017131 2 4157836 346 0 ARC_12920;
OsjChr6_27965001_28023000 28017131 2 4160600 352 0 DV86;
OsjChr6_27965001_28023000 28017131 2 4498563 336 0 AUS_295;
OsjChr6_27965001_28023000 28017131 2 4628474 341 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28017131 2 4903478 347 0 IRBB7;
OsjChr6_27965001_28023000 28017131 2 5230957 361 0 NCS271_A;
OsjChr6_27965001_28023000 28017131 2 5507900 37 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28017131 2 5822167 48 0 NATEL_BORO;
OsjChr6_27965001_28023000 28017775 2 4317973 10 0 ARC_12920;
OsjChr6_27965001_28023000 28017780 2 3573290 10 0 AUS_308;
OsjChr6_27965001_28023000 28017855 4 3573290 83 0 AUS_308;
OsjChr6_27965001_28023000 28017855 4 4317973 88 0 ARC_12920;
OsjChr6_27965001_28023000 28017855 4 4602409 70 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28017855 4 5043507 27 0 IRBB7;
OsjChr6_27965001_28023000 28018331 1 3484191 453 0 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28018331 1 3542557 445 0 AUS_242;
OsjChr6_27965001_28023000 28018331 1 3573290 555 0 AUS_308;
OsjChr6_27965001_28023000 28018331 1 3643481 452 0 BORO_275;
OsjChr6_27965001_28023000 28018331 1 4034596 444 0 IRBB62;
OsjChr6_27965001_28023000 28018331 1 4152923 444 0 ARC_11276;
OsjChr6_27965001_28023000 28018331 1 4290506 445 0 DV86;
OsjChr6_27965001_28023000 28018331 1 4317973 560 0 ARC_12920;
OsjChr6_27965001_28023000 28018331 1 4448351 433 0 AUS_295;
OsjChr6_27965001_28023000 28018331 1 4602409 542 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28018331 1 5043507 499 0 IRBB7;
OsjChr6_27965001_28023000 28018331 1 5288307 346 0 NCS271_A;
OsjChr6_27965001_28023000 28018331 1 5642221 380 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28018331 1 5878159 433 0 NATEL_BORO;
OsjChr6_27965001_28023000 28020266 1 4317973 2494 0 ARC_12920;
OsjChr6_27965001_28023000 28020432 4 3538856 1116 42 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28020432 4 3685639 1163 41 AUS_308;
OsjChr6_27965001_28023000 28020432 4 3689637 1083 41 AUS_242;
OsjChr6_27965001_28023000 28020432 4 4132885 1117 41 IRBB62;
OsjChr6_27965001_28023000 28020432 4 4194207 1206 41 ARC_11276;
OsjChr6_27965001_28023000 28020432 4 4297792 544 41 DV86;
OsjChr6_27965001_28023000 28020432 4 4317973 2659 41 ARC_12920;
OsjChr6_27965001_28023000 28020432 4 4595129 756 41 AUS_295;
OsjChr6_27965001_28023000 28020432 4 5043507 2599 41 IRBB7;
OsjChr6_27965001_28023000 28020432 4 5632614 188 41 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28021100 2 3538856 1823 0 DA_GANG_ZHAN;
OsjChr6_27965001_28023000 28021100 2 3685639 1869 0 AUS_308;
OsjChr6_27965001_28023000 28021100 2 3689637 1789 0 AUS_242;
OsjChr6_27965001_28023000 28021100 2 3708806 1792 0 BORO_275;
OsjChr6_27965001_28023000 28021100 2 4132885 1823 0 IRBB62;
OsjChr6_27965001_28023000 28021100 2 4194207 1912 0 ARC_11276;
OsjChr6_27965001_28023000 28021100 2 4297792 1250 0 DV86;
OsjChr6_27965001_28023000 28021100 2 4317973 3365 0 ARC_12920;
OsjChr6_27965001_28023000 28021100 2 4595129 1462 0 AUS_295;
OsjChr6_27965001_28023000 28021100 2 4733100 1783 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28021100 2 5043507 3305 0 IRBB7;
OsjChr6_27965001_28023000 28021100 2 5632614 894 0 LAKHSMI_DIGHA;
OsjChr6_27965001_28023000 28021100 2 5935522 661 0 NATEL_BORO;
OsjChr6_27965001_28023000 28021556 2 4733100 2237 0 BEGUNBICHI_33;
OsjChr6_27965001_28023000 28021617 207 3362750 263 0 AUS_308;
